Location,Property,"Employee Number","Bags of Salt Used? ","Bags of Calcium Used? ","How many Guys Servicing Property?","Total Man Hours of all Guys?","Submission Date","Submitted By","Assigned To"
"Sec 16 - Carol Stream West","Fresh Markets",813,5,0,2,5,"2015-12-30 20:14:07","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","189 Easy",813,3,0,2,2,"2015-12-30 20:13:28","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","Wheaton Sports Center",813,6,0,3,6,"2015-12-30 20:12:54","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","Wheaton Sports Center",813,6,0,3,6,"2015-12-30 20:10:57","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","138-158 Alexandra Way",813,3,0,2,3,"2015-12-30 20:09:49","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","235 Tubeway",813,2,0,2,2,"2015-12-30 20:08:50","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","365 North Ave",813,3,0,2,3,"2015-12-30 20:08:06","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","225 Westgate",813,3,0,2,3,"2015-12-30 20:07:11","SnowPlus Staff","Leo Vargas"
"Sec 15 - Carol Stream East","221 Covington",813,2,0,2,1,"2015-12-30 20:05:07","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","90 West Lake",813,2,0,2,2,"2015-12-30 20:04:42","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","417 Village",813,3,0,2,3,"2015-12-30 20:04:07","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","545 Fullerton",813,3,0,2,3,"2015-12-30 20:03:33","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","437 Tower",813,6,1,3,7,"2015-12-30 20:03:01","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","230 Lies",813,2,0,2,3,"2015-12-30 20:02:02","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","810 Kimberly",813,4,0,2,4,"2015-12-30 20:01:27","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","900 Kimberly",813,3,0,2,3,"2015-12-30 20:00:56","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","376 Lies",813,6,3,3,8,"2015-12-30 20:00:18","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","125 Army Trail",813,3,0,2,3,"2015-12-30 19:59:21","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","175 Wall St",813,2,0,2,2,"2015-12-30 19:58:25","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","355 Long View",813,3,0,2,3,"2015-12-30 19:57:48","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","700 Kimberly",813,2,0,2,3,"2015-12-30 19:57:04","SnowPlus Staff","Cody Moutvic"
"Sec 07 - Bensenville","1001 Foster",813,1,0,2,1,"2015-12-30 19:36:02","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","1141 Ellis",813,3,0,2,3,"2015-12-30 19:35:24","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","201 Hansen",813,5,0,2,4,"2015-12-30 19:34:25","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","855 Woodale",813,2,0,2,2,"2015-12-30 19:33:32","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","311 Richert",813,2,0,2,2,"2015-12-30 19:32:30","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","571-599 Edgewood",813,2,0,2,2,"2015-12-30 19:31:25","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","1010 Foster",813,3,0,3,3,"2015-12-30 19:30:36","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","626-630 Thomas",813,2,0,2,2,"2015-12-30 19:29:26","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","975-1001 Bryn Mawr",813,2,0,2,2,"2015-12-30 19:28:39","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","877 Supreme",813,2,0,2,3,"2015-12-30 19:27:51","SnowPlus Staff","Ernie Vargas"
