Location,Property,"Area Serviced (choose all that apply)","Acres Salted","Blade Used","Submission Date","Submitted By","Assigned To"
"Sec 07 - Bensenville","600-608 & 610-620 Supreme ( 2 bdgs)",,"1/16 of lot ",no,"02/08/2016 08:34 AM","SnowPlus Staff","Ernie Vargas"
"Sec 07 - Bensenville","659-699 Supreme",,"1/16 of lot ",no,"02/08/2016 08:34 AM","SnowPlus Staff","Ernie Vargas"
"Sec 30 - Lisle / Warrenville","1000 & 1100 Warrenville",,"1/8 of lot",no,"02/05/2016 05:10 AM","SnowPlus Staff","Scott Erickson"
"Sec 30 - Lisle / Warrenville","535 Diehl",,"1/16 of lot ",no,"02/05/2016 05:09 AM","SnowPlus Staff","Scott Erickson"
"Sec 32 - Schaumburg",Sunstar,,"1/8 of lot",no,"02/05/2016 05:09 AM","SnowPlus Staff","Brandon Temesuary"
"Sec 22 - Elgin",Chase,,"1/16 of lot ",no,"02/05/2016 12:36 AM","SnowPlus Staff","Freddy Martin"
"Sec 35 - Woodridge Industrial","2401 Internationale","North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/04/2016 03:12 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","10350 Beaudin","North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/04/2016 03:04 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","2300 Internationale","South Side      ,West Side       ,East Side       ","whole lot",no,"02/04/2016 02:58 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","Graham Packaging","South Side      ,West Side       ,East Side       ","whole lot",no,"02/04/2016 02:55 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial","2500 Internationale","South Side      ,East Side       ","whole lot",no,"02/04/2016 02:51 AM","SnowPlus Staff","Doug Hendon"
"Sec 23 - Rosemont","Ohare Schillar Park","North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/04/2016 02:16 AM","SnowPlus Staff","Jim Jungles"
"Sec 35 - Woodridge Industrial","10220 Werch","North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/04/2016 02:14 AM","SnowPlus Staff","Doug Hendon"
"Sec 35 - Woodridge Industrial",Xcell,"South Side      ,West Side       ","whole lot",no,"02/04/2016 01:54 AM","SnowPlus Staff","Doug Hendon"
"Sec 15 - Carol Stream East","810 Kimberly","North  Side       ,South Side      ,West Side       ,East Side       ","1/2 of lot",no,"02/04/2016 01:42 AM","SnowPlus Staff","Cody Moutvic"
"Sec 15 - Carol Stream East","700 Kimberly","North  Side       ,East Side       ","1/4 of lot",no,"02/04/2016 01:42 AM","SnowPlus Staff","Cody Moutvic"
"Sec 34 - Woodridge Retail","Centerpointe Retail Centre","South Side      ,West Side       ,East Side       ","whole lot",no,"02/04/2016 01:42 AM","SnowPlus Staff","Dan Castro"
"Sec 18 - Mt. Prospect-Glenview","1000 Milwaukee","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/04/2016 01:34 AM","SnowPlus Staff","Bobby Gomez"
"Sec 15 - Carol Stream East","437 Tower","North  Side       ,South Side      ","1/8 of lot",no,"02/04/2016 01:18 AM","SnowPlus Staff","Cody Moutvic"
"Sec 18 - Mt. Prospect-Glenview","1471 Business Center","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/04/2016 12:49 AM","SnowPlus Staff","Bobby Gomez"
"Sec 03 - Aurora","4151 McCoy","North  Side       ,West Side       ","1/16 of lot ",no,"02/04/2016 12:47 AM","SnowPlus Staff","Mito Sopko"
"Sec 09 - Bolingbrook North","750 Veterans","North  Side       ,South Side      ","1/16 of lot ",no,"02/04/2016 12:36 AM","SnowPlus Staff","Tom Ustaszewski"
"Sec 16 - Carol Stream West","365 North Ave","North  Side       ,South Side      ","1/2 of lot",no,"02/04/2016 12:32 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","365 North Ave","North  Side       ","1/4 of lot",no,"02/04/2016 12:32 AM","SnowPlus Staff","Leo Vargas"
"Sec 16 - Carol Stream West","Wheaton Sports Center","North  Side       ","1/4 of lot",no,"02/04/2016 12:32 AM","SnowPlus Staff","Leo Vargas"
"Sec 05 - Bedford Park","Northstar Aerospace","North  Side       ,South Side      ,East Side       ","whole lot",no,"02/04/2016 12:18 AM","SnowPlus Staff","Enick Morris"
"Sec 23 - Rosemont","Columbia Center III","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/04/2016 12:17 AM","SnowPlus Staff","Jim Jungles"
"Sec 23 - Rosemont","Columbia Center I & II","North  Side       ,South Side      ,West Side       ,East Side       ","1/8 of lot",no,"02/04/2016 12:17 AM","SnowPlus Staff","Jim Jungles"
"Sec 05 - Bedford Park","7301 - 7361 Meade","West Side       ","whole lot",no,"02/04/2016 12:06 AM","SnowPlus Staff","Enick Morris"
"Sec 23 - Rosemont","3708 River","North  Side       ,West Side       ,East Side       ","1/16 of lot ",no,"02/03/2016 11:50 PM","SnowPlus Staff","Jim Jungles"
"Sec 06 - McCook",EMD,"North  Side       ,South Side      ,West Side       ,East Side       ","whole lot",no,"02/03/2016 11:43 PM","SnowPlus Staff","Richard Groome"
"Sec 24 - Elmhurst","949 - 853 Larch","North  Side       ,South Side      ,West Side       ","1/16 of lot ",no,"02/03/2016 11:25 PM","SnowPlus Staff","Jim Jungles"
"Sec 24 - Elmhurst","777 Church","South Side      ,East Side       ","1/16 of lot ",no,"02/03/2016 11:18 PM","SnowPlus Staff","Jim Jungles"
"Sec 19 - Elk Grove Village","1301-1401 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/03/2016 10:48 PM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1380-1410 Kirk","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/03/2016 10:48 PM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","1400 Mark","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/03/2016 10:48 PM","SnowPlus Staff","Ernie Vargas"
"Sec 19 - Elk Grove Village","2781 Katherine","North  Side       ,South Side      ,West Side       ,East Side       ","1/16 of lot ",no,"02/03/2016 10:48 PM","SnowPlus Staff","Ernie Vargas"
"Sec 17 - Lombard / Oakbrook","Oak brook International","North  Side       ,South Side      ,West Side       ,East Side       ","1/4 of lot",no,"02/03/2016 09:39 PM","SnowPlus Staff","Jim Rose"
"Sec 13 - Romeoville","160 South Creek","North  Side       ,South Side      ","1/16 of lot ",no,"02/03/2016 09:23 PM","SnowPlus Staff","Mike Jungles"
"Sec 25 - Glendale Heights","139 Army Trail",,"1/16 of lot ",no,"02/03/2016 09:21 PM","SnowPlus Staff","Paul Steinhauer"
"Sec 17 - Lombard / Oakbrook","Art Van - Butterfield","North  Side       ,West Side       ","1/16 of lot ",no,"02/03/2016 09:20 PM","SnowPlus Staff","Greg Skonie"
"Sec 32 - Schaumburg","Bed Bath & Beyond",,"1/8 of lot",no,"02/03/2016 09:17 PM","SnowPlus Staff","Connor Young"
